InsertionSort;MergeSort;QuickSort
1000;0.154431;0.284817;1.90924
1001;0.047661;0.231261;0.591768
1002;0.046384;0.231467;0.354041
1003;0.055735;0.245167;0.324756
1004;0.054129;0.042296;0.360572
1005;0.046584;0.042114;0.406351
1006;0.082774;0.042115;0.415762
1007;0.061886;0.050421;0.432981
1008;0.015823;0.043605;0.436322
1009;0.014292;0.043675;0.409033
1010;0.00974;0.043894;0.419843
1011;0.00937;0.043592;0.41549
1012;0.009658;0.044453;0.476775
1013;0.009656;0.059425;0.475312
1014;0.009485;0.044144;0.4517
1015;0.009696;0.047999;0.43845
1016;0.009644;0.121407;0.448081
1017;0.014159;0.04405;0.486825
1018;0.008716;0.095203;0.448046
1019;0.008757;0.069665;0.419658
1020;0.017416;0.078493;0.425031
1021;0.008886;0.073058;0.419661
1022;0.008746;0.077242;0.419848
1023;0.008819;0.064322;0.420548
1024;0.01175;0.078197;0.448887
1025;0.00884;0.083277;0.436144
1026;0.008783;0.078736;0.470897
1027;0.008839;0.074359;0.467557
1028;0.008794;0.078466;0.463123
1029;0.017448;0.04953;0.44733
1030;0.008827;0.044531;0.430725
1031;0.008859;0.044242;0.433157
1032;0.00882;0.060963;0.43173
1033;0.013555;0.046356;0.432556
1034;0.012605;0.044617;0.795911
1035;0.020494;0.044923;0.617254
1036;0.017308;0.044638;0.481765
1037;0.014176;0.044656;0.47965
1038;0.008997;0.044613;0.436711
1039;0.014293;0.046693;0.666166
1040;0.016127;0.044795;0.709799
1041;0.009055;0.044828;0.478314
1042;0.012198;0.044914;0.442975
1043;0.016177;0.044945;0.440499
1044;0.016436;0.060359;0.441544
1045;0.010638;0.075277;0.444933
1046;0.009025;0.046407;0.444637
1047;0.008953;0.045404;0.490695
1048;0.015132;0.045162;0.481396
1049;0.008977;0.045337;0.478298
1050;0.00903;0.045391;0.44601
1051;0.008978;0.045198;0.657751
1052;0.011048;0.045232;0.709033
1053;0.009058;0.045418;0.498126
1054;0.008996;0.0502;0.455885
1055;0.009079;0.031266;0.450286
1056;0.017155;0.03044;0.455683
1057;0.019206;0.031649;0.562777
1058;0.015018;0.031665;0.498994
1059;0.018976;0.031428;0.647963
1060;0.025828;0.030766;0.461827
1061;0.029783;0.031586;0.456422
1062;0.021808;0.033048;0.518653
1063;0.02996;0.031632;0.840297
1064;0.026948;0.031678;0.545191
1065;0.026431;0.03175;0.458777
1066;0.022853;0.03843;0.464486
1067;0.025623;0.059286;0.490635
1068;9.12E-4;0.081397;0.504846
1069;9.54E-4;0.080766;0.502294
1070;0.001029;0.079827;0.558664
1071;0.001055;0.05892;0.48455
1072;0.001078;0.058997;0.464499
1073;9.59E-4;0.059294;0.4657
1074;8.51E-4;0.059582;0.859244
1075;0.00104;0.059314;0.63182
1076;8.29E-4;0.05944;0.472578
1077;8.6E-4;0.053642;0.4686
1078;8.45E-4;0.047437;0.536288
1079;8.52E-4;0.047274;0.523928
1080;0.001052;0.034145;0.540506
1081;0.001074;0.044606;0.492083
