InsertionSort;MergeSort;QuickSort
1000;2.392349;0.409159;0.281383
1001;0.161328;0.263731;0.116671
1002;0.158251;0.278309;0.073276
1003;0.149364;0.359245;0.061116
1004;0.155968;0.354163;0.077651
1005;0.154933;0.170967;0.06309
1006;0.17;0.108414;0.060904
1007;0.180406;0.107475;0.060738
1008;0.161424;0.107054;0.060727
1009;0.162981;0.106906;0.081026
1010;0.307849;0.107318;0.066954
1011;0.185917;0.120052;0.066496
1012;0.165883;0.152596;0.067142
1013;0.36205;0.108159;0.067027
1014;0.164636;0.107529;0.066143
1015;0.180883;0.108004;0.066843
1016;0.175935;0.107769;0.068822
1017;0.169788;0.108428;0.066916
1018;0.203177;0.108747;0.067734
1019;0.164049;0.108369;0.066957
1020;0.174284;0.108374;0.067503
1021;0.171523;0.108375;0.06791
1022;0.203362;0.111197;0.067566
1023;0.176217;0.090505;0.079796
1024;0.259422;0.090925;0.067293
1025;0.171608;0.098602;0.076477
1026;0.246193;0.091795;0.067564
1027;0.231802;0.090608;0.068059
1028;0.168972;0.091422;0.076421
1029;0.17674;0.091968;0.068129
1030;0.198487;0.092289;0.067805
1031;0.186436;0.172924;0.06829
1032;0.197571;0.099214;0.06869
1033;0.170609;0.094096;0.075815
1034;0.172955;0.094082;0.068279
1035;0.224018;0.09716;0.067881
1036;0.158353;0.093923;0.068866
1037;0.158346;0.094274;0.067875
1038;0.167828;0.094768;0.068497
1039;0.171232;0.094563;0.069216
1040;0.164152;0.095445;0.069284
1041;0.16396;0.095274;0.069525
1042;0.171544;0.095234;0.068989
1043;0.196051;0.095929;0.069453
1044;0.175008;0.095875;0.06976
1045;0.178939;0.095896;0.073735
1046;0.22126;0.095847;0.073867
1047;0.191269;0.096209;0.074823
1048;0.173126;0.096272;0.071292
1049;0.18023;0.096447;0.071622
1050;0.196595;0.096622;0.070452
1051;0.203437;0.096392;0.069648
1052;0.194059;0.096434;0.069221
1053;0.193936;0.096311;0.076704
1054;0.182173;0.096797;0.085137
1055;0.178588;0.096602;0.076615
1056;0.166557;0.09652;0.072445
1057;0.184462;0.09732;0.071959
1058;0.176983;0.097772;0.070882
1059;0.198997;0.097096;0.070867
1060;0.186184;0.097389;0.071893
1061;0.222549;0.099698;0.071607
1062;0.197477;0.097788;0.070229
1063;0.187125;0.097702;0.071841
1064;0.186925;0.097911;0.070188
1065;0.180987;0.097742;0.071552
1066;0.206117;0.097699;0.078655
1067;0.182188;0.098188;0.076722
1068;0.183657;0.098274;0.073137
1069;0.178813;0.098265;0.072275
1070;0.177196;0.098198;0.072022
1071;0.168655;0.098098;0.072353
1072;0.195891;0.097945;0.071041
1073;0.184895;0.098367;0.072219
1074;0.184025;0.206329;0.072766
1075;0.20302;0.196807;0.071852
1076;0.178187;0.186673;0.072293
1077;0.181147;0.105011;0.073109
1078;0.182418;0.09874;0.086532
1079;0.191869;0.09888;0.07509
1080;0.185899;0.098853;0.074608
1081;0.186661;0.098838;0.072361
1082;0.193401;0.099049;0.071798
1083;0.218862;0.098566;0.076175
1084;0.192698;0.106709;0.073978
1085;0.195193;0.100326;0.073082
1086;0.193213;0.099266;0.073985
1087;0.204658;0.098724;0.071753
1088;0.215814;0.09861;0.071592
1089;0.187165;0.099648;0.077947
1090;0.208938;0.09927;0.073471
1091;0.191094;0.099247;0.073983
1092;0.185217;0.099983;0.074364
1093;0.209894;0.099698;0.073635
1094;0.185281;0.100011;0.072667
1095;0.189257;0.100018;0.07419
1096;0.233499;0.100016;0.073794
1097;0.344408;0.10041;0.074398
1098;0.328378;0.100097;0.074126
1099;0.223414;0.100266;0.078822
1100;0.194577;0.100967;0.074202
1101;0.301304;0.100962;0.081274
1102;0.213828;0.100788;0.075819
1103;0.181661;0.100813;0.074799
1104;0.183534;0.100658;0.074825
1105;0.2364;0.10108;0.075969
1106;0.201706;0.101478;0.07386
1107;0.228207;0.10138;0.075242
1108;0.23015;0.101515;0.074911
1109;0.203442;0.103748;0.103883
1110;0.214762;0.10197;0.185587
1111;0.21984;0.101861;0.141764
1112;0.216195;0.101866;0.143094
1113;0.201024;0.101843;0.116866
1114;0.196246;0.102411;0.112118
1115;0.239714;0.102213;0.080231
1116;0.209222;0.126898;0.076344
1117;0.190031;0.103645;0.075977
1118;0.19786;0.102678;0.075521
1119;0.196515;0.103853;0.07609
1120;0.183763;0.102018;0.07621
1121;0.187161;0.102611;0.075926
1122;0.19872;0.102634;0.076424
1123;0.196643;0.102553;0.076472
1124;0.190216;0.103161;0.076573
1125;0.198959;0.103389;0.077306
1126;0.193822;0.102991;0.078731
1127;0.195204;0.103048;0.076805
1128;0.186595;0.104187;0.083617
1129;0.217325;0.10336;0.077065
1130;0.188626;0.1031;0.076202
1131;0.187348;0.102941;0.076983
1132;0.188258;0.10339;0.081633
1133;0.195708;0.103329;0.077692
1134;0.190337;0.104659;0.077739
1135;0.189964;0.103386;0.076967
1136;0.296387;0.103479;0.078164
1137;0.293896;0.103832;0.077537
1138;0.206439;0.103747;0.076696
1139;0.214477;0.10348;0.077521
1140;0.260622;0.104011;0.076934
1141;0.209082;0.103888;0.077779
1142;0.211606;0.103707;0.079877
1143;0.219318;0.103715;0.077493
1144;0.221093;0.103752;0.077814
1145;0.193976;0.104002;0.077282
1146;0.19609;0.104235;0.076936
1147;0.211583;0.105429;0.077929
1148;0.194314;0.104529;0.077126
1149;0.19895;0.103864;0.10907
1150;0.231606;0.104047;0.080456
1151;0.197523;0.105762;0.077939
1152;0.197134;0.102689;0.080963
1153;0.196198;0.107012;0.078045
1154;0.238284;0.105474;0.077572
1155;0.197866;0.104833;0.077168
1156;0.197372;0.1597;0.083524
1157;0.195689;0.131114;0.078842
1158;0.24231;0.106343;0.086052
1159;0.215082;0.105579;0.079385
1160;0.21178;0.10692;0.079201
1161;0.24567;0.105348;0.079469
1162;0.198943;0.105711;0.079464
1163;0.22734;0.106076;0.078686
1164;0.213194;0.106166;0.079188
1165;0.199635;0.106208;0.079597
1166;0.19892;0.106469;0.081549
1167;0.201276;0.106242;0.078141
1168;0.21487;0.106176;0.082026
1169;0.200687;0.106908;0.083482
1170;0.218134;0.106864;0.079364
1171;0.221769;0.106627;0.078703
1172;0.22185;0.106761;0.07843
1173;0.225097;0.107166;0.078412
1174;0.206498;0.107462;0.079073
1175;0.218457;0.107223;0.078193
1176;0.203605;0.107479;0.078107
1177;0.203782;0.107834;0.078769
1178;0.225897;0.108056;0.079061
1179;0.209064;0.107766;0.080944
1180;0.243063;0.107934;0.079836
1181;0.233704;0.117524;0.080211
1182;0.24122;0.109361;0.08161
1183;0.220024;0.108701;0.081001
1184;0.20506;0.108686;0.081248
1185;0.22218;0.108887;0.080742
1186;0.206144;0.10895;0.0836
1187;0.208298;0.108407;0.080542
1188;0.232555;0.108986;0.08123
1189;0.207821;0.108929;0.080923
1190;0.221002;0.109435;0.08073
1191;0.26819;0.108925;0.087772
1192;0.208611;0.109211;0.081873
1193;0.208839;0.109607;0.080755
1194;0.208249;0.109247;0.081969
1195;0.219218;0.10906;0.081256
1196;0.224926;0.109465;0.081334
1197;0.214629;0.141033;0.081397
1198;0.227113;0.116899;0.086766
1199;0.211728;0.118491;0.082193
1200;0.211352;0.110186;0.082737
1201;0.238629;0.1102;0.100057
1202;0.268967;0.110208;0.084612
1203;0.226824;0.110007;0.082774
1204;0.229407;0.112048;0.082033
1205;0.241972;0.110001;0.081178
1206;0.214513;0.110349;0.084068
1207;0.212936;0.112385;0.092726
1208;0.230404;0.110028;0.082009
1209;0.214595;0.109964;0.08241
1210;0.213809;0.110268;0.083552
1211;0.230424;0.110086;0.08344
1212;0.21654;0.111182;0.081643
1213;0.215446;0.110382;0.082657
1214;0.28326;0.110482;0.092163
1215;0.225003;0.110814;0.207968
1216;0.216969;0.109932;0.160966
1217;0.218393;0.110552;0.116413
1218;0.224767;0.110716;0.083892
1219;0.218921;0.111088;0.083208
1220;0.217981;0.110867;0.083428
1221;0.279713;0.111308;0.083894
1222;0.29993;0.111788;0.084189
1223;0.244639;0.111263;0.083923
1224;0.225425;0.111318;0.084279
1225;0.222712;0.111471;0.089737
1226;0.220222;0.11328;0.084829
1227;0.236588;0.113178;0.085066
1228;0.219598;0.112114;0.083435
1229;0.221544;0.111805;0.084168
1230;0.228285;0.112708;0.084198
1231;0.238516;0.118054;0.0875
1232;0.230968;0.112164;0.085018
1233;0.225806;0.112736;0.082658
1234;0.234628;0.115986;0.082388
1235;0.227497;0.112819;0.081853
1236;0.221703;0.11291;0.0854
1237;0.238976;0.113198;0.084033
1238;0.228667;0.113918;0.091273
1239;0.227266;0.113334;0.085251
1240;0.24873;0.113375;0.085076
1241;0.243599;0.113544;0.094722
1242;0.242028;0.113894;0.085209
1243;0.251659;0.115276;0.090515
1244;0.24804;0.113856;0.088155
1245;0.231818;0.114089;0.086859
1246;0.241506;0.114065;0.108633
1247;0.245859;0.113964;0.101552
1248;0.233024;0.113864;0.091898
1249;0.246004;0.131442;0.091204
1250;0.226354;0.115783;0.090904
1251;0.228418;0.115039;0.087798
1252;0.231051;0.115172;0.085415
1253;0.235178;0.124201;0.084601
1254;0.231505;0.122556;0.085315
1255;0.247593;0.132132;0.085194
1256;0.251199;0.12235;0.084367
1257;0.240819;0.122677;0.085023
1258;0.227557;0.122643;0.094828
1259;0.236635;0.118344;0.086903
1260;0.246655;0.115287;0.086837
1261;0.254384;0.115568;0.086766
1262;0.253632;0.115437;0.086678
1263;0.254106;0.115645;0.086591
1264;0.235639;0.115755;0.086525
1265;0.249697;0.11544;0.086141
1266;0.235343;0.115472;0.088984
1267;0.23465;0.117065;0.086024
1268;0.249012;0.115233;0.090156
1269;0.23917;0.115186;0.086697
1270;0.288583;0.142435;0.08723
1271;0.290463;0.117678;0.086512
1272;0.239423;0.115053;0.088111
1273;0.239616;0.114959;0.098419
1274;0.235732;0.115028;0.087893
1275;0.249379;0.115193;0.090597
1276;0.237842;0.115043;0.087568
1277;0.238072;0.11802;0.087021
1278;0.236791;0.115536;0.088403
1279;0.263239;0.116336;0.088449
1280;0.275202;0.113419;0.087578
1281;0.260481;0.115502;0.088026
1282;0.261091;0.116619;0.087774
1283;0.300627;0.115515;0.088653
1284;0.239863;0.116577;0.088251
1285;0.241099;0.116636;0.088435
1286;0.248699;0.116942;0.123917
1287;0.241824;0.116452;0.17163
1288;0.24601;0.117324;0.100378
1289;0.259654;0.117691;0.094675
1290;0.241795;0.118033;0.094834
1291;0.243885;0.119906;0.093194
1292;0.262714;0.132191;0.0915
1293;0.261776;0.119645;0.088551
1294;0.282446;0.119446;0.142307
1295;0.280905;0.119291;0.09745
1296;0.265106;0.119023;0.089986
1297;0.26809;0.119476;0.089507
1298;0.26524;0.119872;0.08962
1299;0.266324;0.119555;0.089798
1300;0.272066;0.11972;0.089131
1301;0.269152;0.119536;0.0887
1302;0.245732;0.119699;0.095394
1303;0.253967;0.122448;0.090553
1304;0.248826;0.119722;0.090011
1305;0.250272;0.120476;0.090499
1306;0.265195;0.120287;0.091429
1307;0.254996;0.120532;0.090074
1308;0.269993;0.120356;0.08951
1309;0.271365;0.120627;0.090518
1310;0.270848;0.121016;0.089563
1311;0.307576;0.120647;0.089658
1312;0.261553;0.120564;0.09052
1313;0.250095;0.124353;0.090922
1314;0.264731;0.121189;0.094094
1315;0.278815;0.120825;0.137249
1316;0.272825;0.1227;0.098008
1317;0.315957;0.12162;0.091235
1318;0.279111;0.121578;0.091228
1319;0.260714;0.121632;0.10218
1320;0.258933;0.12176;0.108135
1321;0.252611;0.122084;0.096428
1322;0.265815;0.122218;0.097465
1323;0.269028;0.122257;0.091041
1324;0.268011;0.122003;0.091196
1325;0.27848;0.122742;0.09011
1326;0.283943;0.122766;0.092336
1327;0.262217;0.122429;0.091897
1328;0.268859;0.122117;0.091621
1329;0.270694;0.122609;0.091893
1330;0.260358;0.122545;0.094305
1331;0.25842;0.123042;0.099353
1332;0.26481;0.126263;0.092089
1333;0.264092;0.126042;0.0911
